101N,101S,180
A48S,A51S,240
A49N,A48N,120
A49N,A48N,90
A49N,A49S,180
A49S,A49N,180
A49S,A50S,90
A50N,A49N,120
A50N,A49N,90
A50N,A50S,180
A50S,A50N,180
A50S,A51S,90
A51N,A48N,180
A51N,A48N,210
A51N,A50N,60
A51N,A50N,90
A51N,A51S,0
A51N,J27N,180
A51N,J27S,180
A51N,L22N,180
A51N,L22S,180
A51S,A51N,0
A51S,A52S,120
A51S,A55S,240
A51S,A55S,270
A51S,A55S,300
A51S,J27N,180
A51S,J27S,180
A51S,L22N,180
A51S,L22S,180
A52N,A51N,120
A52N,A51N,150
A52N,A52S,180
A52S,A52N,180
A52S,A53S,90
A53N,A52N,120
A53N,A52N,90
A53N,A53S,180
A53S,A53N,180
A53S,A54S,90
A54N,A53N,120
A54N,A53N,150
A54N,A53N,90
A54N,A54S,180
A54S,A54N,180
A54S,A55S,90
A55N,A51N,240
A55N,A51N,270
A55N,A51N,330
A55N,A51N,360
A55N,A54N,120
A55N,A54N,90
A55N,A55S,0
A55S,A55N,0
A55S,A57S,180
A55S,A57S,90
A57N,A55N,120
A57N,A55N,180
A57N,A55N,90
A57N,A57S,180
A57S,A57N,180
A57S,A59S,90
A59N,A57N,60
A59N,A57N,90
A59N,A59S,180
A59S,A59N,180
A59S,A60S,60
A59S,A60S,90
A60N,A59N,120
A60N,A59N,60
A60N,A59N,90
A60N,A60S,180
A60S,A60N,180
A60S,A61S,60
A60S,A61S,90
A61N,A60N,60
A61N,A60N,90
A61N,A61S,180
A61S,A61N,180
A61S,A63S,120
A61S,A63S,90
A61S,H02S,240
A61S,H02S,270
A63N,A61N,120
A63N,A61N,90
A63N,A63S,180
A63S,A63N,180
A63S,A64S,120
A63S,A64S,90
A64N,A63N,60
A64N,A63N,90
A64N,A64S,180
A64S,A64N,180
A64S,A65S,60
A64S,A65S,90
A65N,A64N,60
A65N,A64N,90
A65N,A65S,180
A65S,A65N,180
B04N,B04S,180
B04N,G14N,360
B04N,G14N,390
B04N,G14N,420
B04S,B04N,180
B04S,B06S,120
B04S,B06S,150
B06N,B04N,120
B06N,B06S,180
B06S,B06N,180
B06S,B08S,150
B08N,629N,300
B08N,629S,300
B08N,B06N,150
B08N,B06N,180
B08N,B08S,180
B08N,Q03N,120
B08N,R11N,300
B08N,R11S,300
B08S,629N,300
B08S,629S,300
B08S,B08N,180
B08S,B10S,150
B08S,R11N,300
B08S,R11S,300
B08S,R14S,180
B10N,B08N,150
B10N,B08N,180
B10N,B08N,210
B10N,B08N,240
B10N,B08N,270
B10N,B10S,180
B10S,B10N,180
B10S,D15S,90
B12N,B12S,180
B12N,R36N,240
B12S,B12N,180
B12S,B13S,120
B12S,B13S,150
B13N,B12N,120
B13N,B12N,150
B13N,B13S,180
B13S,B13N,180
B13S,B14S,90
B14N,B13N,90
B14N,B14S,180
B14S,B14N,180
B14S,B15S,120
B14S,B15S,90
B15N,B14N,120
B15N,B14N,90
B15N,B15S,180
B15S,B15N,180
B15S,B16S,120
B15S,B16S,90
B16N,B15N,120
B16N,B15N,90
B16N,B16S,180
B16N,N04N,180
B16N,N04S,180
B16S,B16N,180
B16S,B17S,120
B16S,N04N,180
B16S,N04S,180
B17N,B16N,120
B17N,B17S,180
B17S,B17N,180
B17S,B18S,120
B17S,B18S,90
B18N,B17N,120
B18N,B17N,90
B18N,B18S,180
B18S,B18N,180
B18S,B19S,90
B19N,B18N,90
B19N,B19S,180
B19S,B19N,180
B19S,B20S,90
B20N,B19N,60
B20N,B19N,90
B20N,B20S,180
B20S,B20N,180
B20S,B21S,60
B21N,B20N,60
B21N,B20N,90
B21N,B21S,180
B21S,B21N,180
B21S,B22S,90
B22N,B21N,90
B22N,B22S,180
B22S,B22N,180
B22S,B23S,120
B22S,B23S,150
B23N,B22N,120
B23N,B22N,150
B23N,B23S,180
B23S,B23N,180
B23S,D43S,240
D01N,D01S,180
D01S,D01N,180
D01S,D03S,120
D03N,D01N,150
D03N,D03S,0
D03S,D03N,0
D03S,D04S,120
D03S,D04S,90
D04N,D03N,120
D04N,D04S,0
D04S,D04N,0
D04S,D05S,120
D04S,D05S,60
D04S,D05S,90
D05N,D04N,90
D05N,D05S,0
D05S,D05N,0
D05S,D06S,90
D05S,D07S,150
D06N,D05N,90
D06N,D06S,180
D06S,D06N,180
D06S,D07S,120
D06S,D07S,90
D07N,D05N,150
D07N,D05N,210
D07N,D06N,90
D07N,D07S,0
D07S,D07N,0
D07S,D08S,90
D07S,D13S,450
D07S,D13S,510
D08N,D07N,90
D08N,D08S,180
D08S,D08N,180
D08S,D09S,150
D09N,D08N,120
D09N,D08N,150
D09N,D09S,180
D09S,D09N,180
D09S,D10S,120
D10N,D09N,120
D10N,D10S,180
D10S,D10N,180
D10S,D11S,150
D11N,414N,180
D11N,414S,180
D11N,D10N,150
D11N,D11S,180
D11S,414N,180
D11S,414S,180
D11S,D11N,180
D11S,D12S,120
D11S,D12S,90
D12N,D11N,120
D12N,D11N,90
D12N,D12S,180
D12S,D12N,180
D12S,D13S,120
D12S,D13S,90
D13N,A12N,180
D13N,A12S,180
D13N,D07N,480
D13N,D12N,90
D13N,D13S,0
D13S,A12N,180
D13S,A12S,180
D13S,A14S,120
D13S,A14S,150
D13S,A15S,210
D13S,A15S,240
D13S,D13N,0
D14N,A24N,120
D14N,A24N,150
D14N,A24N,180
D14N,A24N,210
D14N,A24N,90
D14N,D14S,180
D14N,F12N,120
D14N,F12N,60
D14N,F12N,90
D14S,A25S,90
D14S,D14N,180
D14S,D15S,120
D14S,D15S,90
D15N,B10N,120
D15N,B10N,150
D15N,B10N,180
D15N,B10N,90
D15N,D14N,90
D15N,D15S,300
D15N,F12N,120
D15N,F12N,150
D15N,F12N,180
D15S,D15N,300
D15S,D16S,90
D16N,724N,180
D16N,724S,180
D16N,D15N,120
D16N,D15N,150
D16N,D15N,180
D16N,D15N,90
D16N,D16S,0
D16S,724N,180
D16S,724S,180
D16S,D16N,0
D16S,D17S,120
D16S,D17S,90
D17N,D16N,120
D17N,D16N,90
D17N,D17S,0
D17N,R17N,180
D17N,R17S,180
D17S,D17N,0
D17S,D18S,120
D17S,D18S,90
D17S,D20S,180
D17S,R17N,180
D17S,R17S,180
D18N,D17N,120
D18N,D17N,90
D18N,D18S,180
D18S,D18N,180
D18S,D19S,90
D19N,132N,300
D19N,132S,300
D19N,D18N,90
D19N,D19S,180
D19N,L02N,180
D19N,L02S,180
D19S,132N,300
D19S,132S,300
D19S,D19N,180
D19S,D20S,90
D19S,L02N,180
D19S,L02S,180
D20N,A32N,180
D20N,A32S,180
D20N,D17N,180
D20N,D19N,90
D20N,D20S,0
D20S,A32N,180
D20S,A32S,180
D20S,D20N,0
D20S,D21S,120
D20S,D21S,150
D21N,637N,180
D21N,637S,180
D21N,D20N,120
D21N,D20N,150
D21N,D21S,0
D21S,637N,180
D21S,637S,180
D21S,D21N,0
D21S,D22S,120
D21S,F14S,90
D21S,M18S,180
D22N,D21N,120
D22N,D21N,150
D22N,D22S,180
D22S,D22N,180
D22S,R30S,480
D22S,R30S,510
D22S,R30S,540
D22S,R30S,570
D22S,R30S,600
D22S,R30S,690
D22S,R31S,630
D22S,R31S,660
D22S,R31S,690
D22S,R31S,720
D22S,R31S,780
D22S,R31S,810
D24N,235N,180
D24N,235S,180
D24N,D24S,180
D24N,R30N,120
D24N,R30N,90
D24N,R31N,300
D24N,R31S,300
D24S,235N,180
D24S,235S,180
D24S,D24N,180
D24S,D25S,120
D24S,D25S,150
D24S,R31N,300
D24S,R31S,300
D25N,D24N,120
D25N,D24N,150
D25N,D25S,180
D25S,D25N,180
D25S,D26S,240
D25S,D26S,270
D26N,D25N,210
D26N,D25N,240
D26N,D25N,270
D26N,D25N,300
D26N,D26S,180
D26N,S04N,180
D26S,D26N,180
D26S,D27S,120
D26S,D27S,90
D26S,D28S,120
D27N,D26N,90
D27N,D27S,180
D27S,D27N,180
D27S,D28S,60
D27S,D28S,90
D28N,D26N,120
D28N,D27N,90
D28N,D28S,0
D28S,D28N,0
D28S,D29S,120
D28S,D29S,90
D28S,D31S,150
D29N,D28N,90
D29N,D29S,180
D29S,D29N,180
D29S,D30S,30
D29S,D30S,60
D30N,D29N,30
D30N,D29N,60
D30N,D30S,180
D30S,D30N,180
D30S,D31S,120
D30S,D31S,90
D31N,D28N,150
D31N,D28N,180
D31N,D30N,90
D31N,D31S,0
D31S,D31N,0
D31S,D32S,60
D31S,D32S,90
D31S,D35S,240
D31S,D35S,270
D32N,D31N,60
D32N,D31N,90
D32N,D32S,180
D32S,D32N,180
D32S,D33S,60
D32S,D33S,90
D33N,D32N,60
D33N,D32N,90
D33N,D33S,180
D33S,D33N,180
D33S,D34S,120
D33S,D34S,90
D34N,D33N,120
D34N,D33N,90
D34N,D34S,180
D34S,D34N,180
D34S,D35S,120
D34S,D35S,150
D35N,D31N,270
D35N,D31N,300
D35N,D34N,120
D35N,D34N,150
D35N,D35S,0
D35S,D35N,0
D35S,D37S,150
D35S,D37S,180
D35S,D39S,240
D35S,D39S,300
D37N,D35N,120
D37N,D35N,150
D37N,D37S,180
D37S,D37N,180
D37S,D38S,60
D38N,D37N,60
D38N,D38S,180
D38S,D38N,180
D38S,D39S,150
D39N,D35N,240
D39N,D38N,120
D39N,D38N,150
D39N,D39S,0
D39S,D39N,0
D39S,D40S,120
D40N,D39N,120
D40N,D40S,300
D40S,D40N,300
D40S,D41S,120
D41N,D40N,120
D41N,D41S,180
D41S,D41N,180
D41S,D42S,120
D42N,D41N,90
D42N,D42S,180
D42N,F39N,90
D42S,D42N,180
D42S,D43S,90
D43N,B23N,240
D43N,D42N,90
D43N,D43S,180
D43N,N10N,240
D43N,N10N,270
D43S,D43N,180
E01N,228N,180
E01N,228S,180
E01N,A34N,120
E01N,A36N,300
E01N,A36S,300
E01N,E01S,180
E01N,R25N,240
E01N,R25S,240
E01S,228N,180
E01S,228S,180
E01S,A36N,300
E01S,A36S,300
E01S,E01N,180
E01S,R25N,240
E01S,R25S,240
F01N,F01S,180
F01S,F01N,180
F01S,F02S,120
F01S,F02S,90
F01S,F03S,150
F01S,F03S,180
F02N,F01N,120
F02N,F02S,180
F02S,F02N,180
F02S,F03S,120
F03N,F01N,180
F03N,F02N,120
F03N,F02N,150
F03N,F02N,90
F03N,F03S,180
F03S,F03N,180
F03S,F04S,60
F03S,F04S,90
F03S,F06S,210
F03S,F06S,240
F04N,F03N,60
F04N,F03N,90
F04N,F04S,180
F04S,F04N,180
F04S,F05S,120
F05N,F04N,120
F05N,F04N,60
F05N,F04N,90
F05N,G07N,90
F05S,F06S,120
F05S,F06S,90
F06N,F03N,210
F06N,F03N,240
F06N,F05N,120
F06N,F06S,0
F06N,G07N,180
F06N,G07N,240
F06N,G07N,270
F06N,G07N,300
F06N,G07N,330
F06N,G07N,360
F06S,F06N,0
F06S,F07S,120
F06S,F07S,90
F06S,G08S,120
F06S,G08S,150
F06S,G08S,180
F07N,F06N,90
F07N,F07S,180
F07S,F07N,180
F07S,G08S,120
F07S,G08S,90
F09N,719N,300
F09N,719S,300
F09N,F09S,180
F09N,G21N,120
F09N,G21N,150
F09N,G21N,90
F09N,G22N,180
F09N,G22S,180
F09S,719N,300
F09S,719S,300
F09S,F09N,180
F09S,F11S,180
F09S,F11S,210
F09S,G22N,180
F09S,G22S,180
F11N,630N,180
F11N,630S,180
F11N,F09N,180
F11N,F09N,210
F11N,F11S,180
F11S,630N,180
F11S,630S,180
F11S,F11N,180
F11S,F12S,120
F11S,F12S,90
F12N,F11N,120
F12N,F11N,90
F12N,F12S,180
F12S,D14S,120
F12S,D14S,90
F12S,D15S,120
F12S,F12N,180
F14N,D21N,90
F14N,F14S,300
F14S,F14N,300
F14S,F15S,120
F14S,F15S,90
F15N,F14N,90
F15N,F15S,180
F15N,M18N,180
F15N,M18S,180
F15S,F15N,180
F15S,F16S,90
F15S,M18N,180
F15S,M18S,180
F16N,F15N,60
F16N,F15N,90
F16N,F16S,180
F16S,F16N,180
F16S,F18S,150
F16S,F18S,180
F18N,F16N,150
F18N,F16N,180
F18N,F16N,210
F18N,F16N,240
F18N,F18S,180
F18S,A41S,90
F18S,F18N,180
F20N,A41N,120
F20N,A41N,150
F20N,A42N,120
F20N,A42N,90
F20S,F21S,120
F20S,F21S,90
F21N,F20N,120
F21N,F20N,90
F21N,F21S,180
F21S,F21N,180
F21S,F22S,120
F21S,F22S,150
F21S,F22S,90
F22N,F21N,120
F22N,F22S,180
F22S,F22N,180
F22S,F23S,120
F22S,F23S,150
F22S,F23S,90
F23N,F22N,120
F23N,F22N,90
F23N,F23S,180
F23N,R33N,180
F23N,R33S,180
F23S,F23N,180
F23S,F24S,120
F23S,F24S,90
F23S,R33N,180
F23S,R33S,180
F24N,F23N,120
F24N,F23N,150
F24N,F23N,90
F24N,F24S,0
F24S,F24N,0
F24S,F25S,90
F25N,F24N,120
F25N,F24N,150
F25N,F24N,90
F25N,F25S,180
F25S,F25N,180
F25S,F26S,120
F25S,F26S,150
F26N,F25N,150
F26N,F25N,180
F26N,F25N,210
F26N,F26S,180
F26S,F26N,180
F26S,F27S,120
F26S,F27S,90
F27N,F26N,120
F27N,F26N,90
F27N,F27S,0
F27S,F27N,0
F27S,F29S,120
F29N,F27N,120
F29N,F29S,180
F29S,F29N,180
F29S,F30S,120
F30N,F29N,120
F30N,F29N,90
F30N,F30S,180
F30S,F30N,180
F30S,F31S,60
F31N,F30N,60
F31N,F30N,90
F31N,F31S,180
F31S,F31N,180
F31S,F32S,60
F32N,F31N,60
F32N,F32S,180
F32S,F32N,180
F32S,F33S,120
F33N,F32N,120
F33N,F32N,90
F33N,F33S,180
F33S,F33N,180
F33S,F34S,90
F34N,F33N,90
F34N,F34S,180
F34S,F34N,180
F34S,F35S,90
F35N,F34N,90
F35N,F35S,180
F35S,F35N,180
F35S,F36S,120
F36N,F35N,120
F36N,F36S,180
F36S,F36N,180
F36S,F38S,120
F38N,F36N,120
F38N,F36N,90
F38N,F38S,180
F38S,F38N,180
F38S,F39S,120
F38S,F39S,150
F39N,F38N,120
F39N,F38N,150
F39N,F39S,180
F39S,D42S,90
F39S,F39N,180
G05N,G05S,180
G05S,G05N,180
G05S,G06S,120
G05S,G06S,60
G05S,G06S,90
G06N,G05N,120
G06N,G05N,150
G06N,G05N,60
G06N,G06S,180
G06S,G06N,180
G06S,G07S,120
G06S,G07S,150
G06S,J12S,240
G06S,J13S,300
G07N,G06N,120
G07N,G06N,150
G07N,G07S,180
G07S,F05S,90
G07S,F06S,180
G07S,F06S,210
G07S,G07N,180
G08N,F06N,150
G08N,F06N,180
G08N,F07N,120
G08N,G08S,0
G08S,G08N,0
G08S,G09S,120
G08S,G09S,90
G08S,G14S,420
G08S,G14S,450
G08S,G14S,480
G08S,G14S,510
G09N,G08N,120
G09N,G08N,90
G09N,G09S,180
G09S,G09N,180
G09S,G10S,120
G09S,G10S,90
G10N,G09N,120
G10N,G09N,90
G10N,G10S,180
G10S,G10N,180
G10S,G11S,60
G10S,G11S,90
G11N,G10N,60
G11N,G10N,90
G11N,G11S,180
G11S,G11N,180
G11S,G12S,120
G11S,G12S,90
G12N,G11N,120
G12N,G11N,90
G12N,G12S,180
G12S,G12N,180
G12S,G13S,90
G13N,G12N,90
G13N,G13S,180
G13S,G13N,180
G13S,G14S,120
G13S,G14S,90
G14N,710N,180
G14N,710S,180
G14N,G08N,420
G14N,G08N,450
G14N,G13N,120
G14N,G13N,90
G14N,G14S,180
G14S,710N,180
G14S,710S,180
G14S,B04S,390
G14S,B04S,420
G14S,B04S,480
G14S,B04S,510
G14S,G14N,180
G14S,G15S,90
G14S,G21S,360
G14S,G21S,390
G14S,G21S,420
G14S,G21S,450
G15N,G14N,90
G15N,G15S,180
G15S,G15N,180
G15S,G16S,90
G16N,G15N,60
G16N,G15N,90
G16N,G16S,180
G16S,G16N,180
G16S,G18S,90
G18N,G16N,90
G18N,G18S,180
G18S,G18N,180
G18S,G19S,120
G18S,G19S,90
G19N,G18N,120
G19N,G18N,90
G19N,G19S,180
G19S,G19N,180
G19S,G20S,120
G20N,G19N,120
G20N,G20S,180
G20S,G20N,180
G20S,G21S,120
G21N,G14N,330
G21N,G14N,360
G21N,G14N,390
G21N,G14N,420
G21N,G14N,450
G21N,G20N,120
G21N,G21S,180
G21S,F09S,120
G21S,F09S,150
G21S,F09S,180
G21S,F09S,90
G21S,G21N,180
G21S,R11S,330
G21S,R11S,360
G21S,R11S,390
G21S,R11S,420
G21S,R11S,450
G21S,R11S,480
G21S,R11S,510
G22N,719N,180
G22N,719S,180
G22N,F09N,180
G22N,F09S,180
G22N,G22S,180
G22S,719N,180
G22S,719S,180
G22S,F09N,180
G22S,F09S,180
G22S,G22N,180
G22S,G24S,60
G24N,G22N,60
G24N,G24S,180
G24S,G24N,180
G24S,G26S,150
G24S,G26S,180
G26N,G24N,150
G26N,G24N,180
G26N,G26S,180
G26S,G26N,180
G26S,G28S,60
G26S,G28S,90
G28N,G26N,60
G28N,G26N,90
G28N,G28S,180
G28S,G28N,180
G28S,G29S,150
G28S,G29S,180
G28S,G29S,210
G29N,G28N,150
G29N,G28N,180
G29N,G28N,210
G29N,G29S,180
G29N,L10N,180
G29N,L10S,180
G29S,G29N,180
G29S,G30S,120
G29S,G30S,90
G29S,L10N,180
G29S,L10S,180
G30N,G29N,60
G30N,G29N,90
G30N,G30S,180
G30S,G30N,180
G30S,G31S,60
G30S,G31S,90
G31N,G30N,60
G31N,G30N,90
G31N,G31S,180
G31S,G31N,180
G31S,G32S,60
G31S,G32S,90
G32N,G31N,60
G32N,G31N,90
G32N,G32S,180
G32S,G32N,180
G32S,G33S,120
G32S,G33S,90
G33N,G32N,120
G33N,G32N,90
G33N,G33S,180
G33S,G33N,180
G33S,G34S,60
G34N,G33N,60
G34N,G34S,180
G34S,G34N,180
G34S,G35S,90
G35N,G34N,90
G35N,G35S,180
G35S,G35N,180
G35S,G36S,90
G36N,G35N,90
G36N,G36S,180
G36S,A42S,120
G36S,A42S,90
G36S,G36N,180
H01N,A61N,180
H01N,A61N,240
H02N,H01N,30
H02N,H01N,60
H02N,H02S,180
H02S,H02N,180
H02S,H03S,120
H02S,H03S,150
H03N,H02N,120
H03N,H02N,150
H03N,H03S,180
H03S,H03N,180
H03S,H04S,390
H04N,H03N,390
H04N,H03N,420
H04N,H03N,450
H04N,H04S,180
H04S,H04N,180
H04S,H06S,240
H04S,H12S,240
H06N,H04N,240
H06N,H06S,180
H06S,H06N,180
H06S,H07S,90
H07N,H06N,90
H07N,H07S,180
H07S,H07N,180
H07S,H08S,120
H08N,H07N,120
H08N,H07N,150
H08N,H08S,180
H08S,H08N,180
H08S,H09S,90
H09N,H08N,90
H09N,H09S,180
H09S,H09N,180
H09S,H10S,120
H10N,H09N,120
H10N,H09N,90
H10N,H10S,180
H10S,H10N,180
H10S,H11S,90
H11N,H10N,120
H11N,H10N,90
H11N,H11S,180
H11S,H11N,180
H12N,H04N,210
H12N,H12S,180
H12S,H12N,180
H12S,H13S,90
H13N,H12N,120
H13N,H12N,90
H13N,H13S,180
H13S,H13N,180
H13S,H14S,60
H13S,H14S,90
H14N,H13N,120
H14N,H13N,90
H14N,H14S,180
H14S,H14N,180
H14S,H15S,120
H14S,H15S,90
H15N,H14N,120
H15N,H14N,150
H15N,H15S,180
H15S,H15N,180
J12N,G06N,240
J12N,J12S,180
J12S,J12N,180
J12S,J13S,90
J12S,J14S,180
J13N,G06N,300
J13N,J12N,90
J13N,J13S,180
J13S,J13N,180
J13S,J14S,120
J13S,J15S,180
J14N,J12N,180
J14N,J13N,120
J14N,J14S,180
J14S,J14N,180
J14S,J15S,90
J15N,J13N,180
J15N,J14N,90
J15N,J15S,180
J15S,J15N,180
J15S,J16S,120
J15S,J16S,90
J15S,J17S,180
J16N,J15N,120
J16N,J15N,90
J16N,J16S,180
J16S,J16N,180
J16S,J17S,90
J16S,J19S,150
J17N,J15N,180
J17N,J16N,90
J17N,J17S,180
J17S,J17N,180
J17S,J19S,60
J17S,J19S,90
J17S,J20S,150
J19N,J16N,150
J19N,J17N,60
J19N,J17N,90
J19N,J19S,180
J19S,J19N,180
J19S,J20S,120
J19S,J20S,90
J20N,J17N,150
J20N,J19N,120
J20N,J19N,90
J20N,J20S,180
J20S,J20N,180
J20S,J21S,120
J20S,J21S,90
J20S,J22S,150
J21N,J20N,120
J21N,J20N,90
J21N,J21S,180
J21S,J21N,180
J21S,J22S,60
J21S,J22S,90
J21S,J23S,150
J22N,J20N,150
J22N,J21N,60
J22N,J22S,180
J22S,J22N,180
J22S,J23S,90
J22S,J24S,150
J23N,J21N,150
J23N,J22N,90
J23N,J23S,180
J23S,J23N,180
J23S,J24S,60
J23S,J24S,90
J24N,J22N,150
J24N,J23N,60
J24N,J23N,90
J24N,J24S,180
J24S,J24N,180
J24S,J27S,120
J24S,J27S,90
J27N,A51N,180
J27N,A51S,180
J27N,J24N,120
J27N,J24N,90
J27N,J27S,0
J27N,L22N,180
J27N,L22S,180
J27S,A51N,180
J27S,A51S,180
J27S,J27N,0
J27S,J28S,60
J27S,J28S,90
J27S,J29S,150
J27S,L22N,180
J27S,L22S,180
J28N,J27N,60
J28N,J27N,90
J28N,J28S,180
J28S,J28N,180
J28S,J29S,90
J28S,J30S,150
J29N,J27N,150
J29N,J28N,90
J29N,J29S,180
J29S,J29N,180
J29S,J30S,90
J29S,J31S,150
J30N,J28N,150
J30N,J29N,90
J30N,J30S,180
J30S,J30N,180
J30S,J31S,90
J30S,M11S,180
J31N,J29N,150
J31N,J30N,90
J31N,J31S,180
J31S,J31N,180
J31S,M11S,120
J31S,M11S,90
L01N,A31N,90
L01N,A31S,90
L01N,L01S,180
L01S,A31N,90
L01S,A31S,90
L01S,L01N,180
L01S,L02S,90
L02N,132N,180
L02N,132S,180
L02N,D19N,180
L02N,D19S,180
L02N,L01N,60
L02N,L01N,90
L02N,L02S,180
L02S,132N,180
L02S,132S,180
L02S,D19N,180
L02S,D19S,180
L02S,L02N,180
L02S,L03S,120
L02S,L03S,90
L03N,635N,180
L03N,635S,180
L03N,L02N,90
L03N,L03S,180
L03N,R20N,180
L03N,R20S,180
L03S,635N,180
L03S,635S,180
L03S,L03N,180
L03S,L05S,30
L03S,L05S,60
L03S,R20N,180
L03S,R20S,180
L05N,L03N,60
L05N,L03N,90
L05N,L05S,180
L05S,L05N,180
L05S,L06S,60
L06N,L05N,60
L06N,L06S,180
L06S,L06N,180
L06S,L08S,240
L08N,L06N,240
L08N,L08S,180
L08S,L08N,180
L08S,L10S,120
L08S,L10S,90
L10N,G29N,180
L10N,G29S,180
L10N,L08N,120
L10N,L08N,90
L10N,L10S,180
L10S,G29N,180
L10S,G29S,180
L10S,L10N,180
L10S,L11S,60
L11N,L10N,60
L11N,L10N,90
L11N,L11S,180
L11S,L11N,180
L11S,L12S,90
L12N,L11N,60
L12N,L11N,90
L12N,L12S,180
L12S,L12N,180
L12S,L13S,60
L13N,L12N,60
L13N,L13S,180
L13S,L13N,180
L13S,L14S,120
L13S,L14S,90
L14N,L13N,120
L14N,L13N,90
L14N,L14S,180
L14S,L14N,180
L14S,L15S,120
L15N,L14N,120
L15N,L14N,150
L15N,L15S,180
L15S,L15N,180
L15S,L16S,90
L16N,L15N,60
L16N,L15N,90
L16N,L16S,180
L16S,L16N,180
L16S,L17S,90
L17N,L16N,120
L17N,L16N,90
L17N,L17S,180
L17N,M08N,180
L17N,M08S,180
L17S,L17N,180
L17S,L19S,90
L17S,M08N,180
L17S,M08S,180
L19N,L17N,90
L19N,L19S,180
L19S,L19N,180
L19S,L20S,150
L20N,L19N,120
L20N,L19N,150
L20N,L20S,180
L20S,L20N,180
L20S,L21S,90
L21N,L20N,90
L21N,L21S,180
L21S,L21N,180
L21S,L22S,60
L22N,A51N,180
L22N,A51S,180
L22N,J27N,180
L22N,J27S,180
L22N,L21N,60
L22N,L22S,180
L22S,A51N,180
L22S,A51S,180
L22S,J27N,180
L22S,J27S,180
L22S,L22N,180
L22S,L24S,60
L22S,L24S,90
L24N,L22N,120
L24N,L22N,90
L24N,L24S,180
L24S,L24N,180
L24S,L25S,90
L25N,L24N,90
L25N,L25S,180
L25S,L25N,180
L25S,L26S,60
L25S,L26S,90
L26N,254N,300
L26N,254S,300
L26N,L25N,90
L26N,L26S,180
L26S,254N,300
L26S,254S,300
L26S,L26N,180
L26S,L27S,90
L27N,L26N,90
L27N,L27S,180
L27S,L27N,180
L27S,L28S,120
L28N,L27N,120
L28N,L27N,150
L28N,L28S,180
L28S,L28N,180
L28S,L29S,90
L29N,L28N,120
L29N,L28N,90
L29N,L29S,180
L29S,L29N,180
M01N,M01S,180
M01N,M04N,120
M01S,M01N,180
M04N,M04S,180
M04N,M05N,120
M04N,M05N,90
M04S,M01S,120
M04S,M04N,180
M05N,M05S,180
M05N,M06N,60
M05N,M06N,90
M05S,M04S,120
M05S,M04S,90
M05S,M05N,180
M06N,M06S,180
M06N,M08N,90
M06S,M05S,60
M06S,M05S,90
M06S,M06N,180
M08N,L17N,180
M08N,L17S,180
M08N,M08S,180
M08N,M09N,120
M08S,L17N,180
M08S,L17S,180
M08S,M06S,90
M08S,M08N,180
M09N,M09S,180
M09N,M10N,120
M09S,M08S,120
M09S,M09N,180
M10N,M10S,180
M10N,M11N,120
M10S,M09S,90
M10S,M10N,180
M11N,J30N,180
M11N,J31N,120
M11N,J31N,90
M11N,M11S,0
M11N,M12N,90
M11S,M10S,150
M11S,M11N,0
M11S,M12S,90
M11S,M16S,240
M12N,M11N,60
M12N,M12S,180
M12N,M13N,120
M12N,M13N,90
M12S,M11S,60
M12S,M11S,90
M12S,M12N,180
M12S,M13S,90
M13N,M12N,90
M13N,M13S,180
M13N,M14N,60
M13N,M14N,90
M13S,M12S,90
M13S,M13N,180
M13S,M14S,60
M13S,M14S,90
M14N,M13N,90
M14N,M14S,180
M14N,M16N,60
M14S,M13S,90
M14S,M14N,180
M14S,M16S,60
M16N,M11N,240
M16N,M14N,60
M16N,M16S,0
M16N,M18N,450
M16S,M14S,60
M16S,M16N,0
M16S,M18S,450
M18N,D21N,180
M18N,D21N,210
M18N,D21N,240
M18N,D21N,270
M18N,D21N,300
M18N,F15N,180
M18N,F15S,180
M18N,M16N,450
M18N,M18S,180
M18S,F15N,180
M18S,F15S,180
M18S,M16S,450
M18S,M18N,180
M18S,M19S,90
M19N,M18N,120
M19N,M18N,90
M19N,M19S,180
M19S,M19N,180
M19S,M20S,120
M19S,M20S,90
M20N,639N,180
M20N,639S,180
M20N,M19N,120
M20N,M19N,150
M20N,M20S,180
M20N,Q01N,180
M20N,Q01S,180
M20N,R23N,300
M20N,R23S,300
M20S,639N,180
M20S,639S,180
M20S,M20N,180
M20S,M21S,90
M20S,Q01N,180
M20S,Q01S,180
M20S,R23N,300
M20S,R23S,300
M21N,640N,180
M21N,640S,180
M21N,M20N,120
M21N,M21S,180
M21S,640N,180
M21S,640S,180
M21S,M21N,180
M21S,M22S,60
M21S,M22S,90
M22N,229N,300
M22N,229S,300
M22N,418N,300
M22N,418S,300
M22N,A38N,180
M22N,A38S,180
M22N,M21N,120
M22N,M21N,90
M22N,M22S,180
M22S,229N,300
M22S,229S,300
M22S,418N,300
M22S,418S,300
M22S,A38N,180
M22S,A38S,180
M22S,M22N,180
M22S,M23S,120
M22S,M23S,90
M23N,M22N,120
M23N,M22N,90
M23N,M23S,180
M23S,M23N,180
N02N,N02S,180
N02N,R41N,180
N02S,N02N,180
N02S,N03S,90
N03N,N02N,60
N03N,N02N,90
N03N,N03S,180
N03S,N03N,180
N03S,N04S,120
N04N,B16N,180
N04N,B16S,180
N04N,N03N,120
N04N,N03N,150
N04N,N04S,180
